gene,source
HDAC3,CellAge
HDAC4,CellAge
HDAC7,CellAge
HELLS,CellAge
HEPACAM,CellAge
HIF1A,CellAge
HIPK2,CellAge
HIRA,CellAge
HIVEP1,CellAge
HJURP,CellAge
HK3,CellAge
HMGA1,CellAge
HMGA2,CellAge
HMGB1,CellAge
HMGB2,CellAge
HMGB3,CellAge
HMGCR,CellAge
HNRNPA1,CellAge
HNRNPA3,CellAge
HNRNPAB,CellAge
HNRNPC,CellAge
HNRNPD,CellAge
HOPX,CellAge
HOXA9,CellAge
HRAS,CellAge
HS2ST1,CellAge
HSF1,CellAge
HSP90AA1,CellAge
HSP90AB1,CellAge
HSPA1A,CellAge
HSPA2,CellAge
HSPA5,CellAge
HSPA9,CellAge
HSPB1,CellAge
HTRA1,CellAge
HYOU1,CellAge
ID1,CellAge
IFI16,CellAge
IFNG,CellAge
IGFBP1,CellAge
IGFBP3,CellAge
IGFBP5,CellAge
IGFBP7,CellAge
IKBKG,CellAge
IL1A,CellAge
IL1R1,CellAge
IL1RN,CellAge
IL24,CellAge
IL6,CellAge
ILF3,CellAge
ILK,CellAge
IMMT,CellAge
INCENP,CellAge
ING1,CellAge
ING2,CellAge
ING5,CellAge
INPP4B,CellAge
IRAK4,CellAge
IRF1,CellAge
IRF3,CellAge
IRF5,CellAge
IRF7,CellAge
ITGB3,CellAge
ITGB4,CellAge
ITPK1,CellAge
ITPKB,CellAge
ITPR1,CellAge
ITPR2,CellAge
ITPR3,CellAge
ITSN2,CellAge
JAK2,CellAge
JPT1,CellAge
JUN,CellAge
JUNB,CellAge
KAT5,CellAge
KCNA1,CellAge
KCNJ12,CellAge
KDM1A,CellAge
KDM2B,CellAge
KDM4A,CellAge
KDM4C,CellAge
KDM5B,CellAge
KDM6B,CellAge
KDR,CellAge
KEAP1,CellAge
KIF11,CellAge
KIF20A,CellAge
KIF2C,CellAge
KIFC1,CellAge
KL,CellAge
KLF4,CellAge
KNDC1,CellAge
KRT19,CellAge
KSR2,CellAge
LAMP2,CellAge
LATS1,CellAge
LATS2,CellAge
LAYN,CellAge
LBR,CellAge
LCN2,CellAge
LEO1,CellAge
LGALS3,CellAge
LIMA1,CellAge
LIMK1,CellAge
LIN52,CellAge
LIN54,CellAge
LIN9,CellAge
LMNA,CellAge
LMNB1,CellAge
LNCTAM34A,CellAge
